station,departures,arrivals,total_activity
Streeter Dr & Grand Ave,61666,63251,124917
DuSable Lake Shore Dr & Monroe St,41018,39737,80755
DuSable Lake Shore Dr & North Blvd,36361,39942,76303
Michigan Ave & Oak St,36024,36261,72285
Kingsbury St & Kinzie St,35594,35194,70788
Clark St & Elm St,31681,31089,62770
Clinton St & Washington Blvd,30963,31151,62114
Millennium Park,30245,30868,61113
Clinton St & Madison St,29563,30050,59613
Wells St & Concord Ln,27841,28234,56075
Theater on the Lake,27208,28143,55351
Wells St & Elm St,26566,26663,53229
Dearborn St & Erie St,24901,24500,49401
Clinton St & Jackson Blvd,23950,24360,48310
Shedd Aquarium,24413,23654,48067
Indiana Ave & Roosevelt Rd,23994,23901,47895
State St & Chicago Ave,23670,23978,47648
Canal St & Madison St,23330,23261,46591
Wabash Ave & Grand Ave,23262,23300,46562
University Ave & 57th St,22716,23043,45759
Dusable Harbor,23058,22586,45644
Clark St & Armitage Ave,22165,22657,44822
Michigan Ave & Washington St,22084,22501,44585
Clark St & Lincoln Ave,21902,22461,44363
Wells St & Huron St,21820,21003,42823
