station,departures,arrivals,net_outflow,net_outflow_pct
Buckingham Fountain,14132,11105,3027,12.0
Columbus Dr & Randolph St,19953,17097,2856,7.7
Desplaines St & Kinzie St,21031,18795,2236,5.6
Field Museum,11267,9153,2114,10.4
Adler Planetarium,16937,14826,2111,6.6
Financial Pl & Ida B Wells Dr,9171,7438,1733,10.4
Cityfront Plaza Dr & Pioneer Ct,13732,12118,1614,6.2
Sedgwick St & Huron St,14096,12564,1532,5.7
Wells St & Walton St,11144,9630,1514,7.3
DuSable Lake Shore Dr & Monroe St,41018,39737,1281,1.6
Aberdeen St & Jackson Blvd,14621,13344,1277,4.6
Kingsbury St & Erie St,18475,17267,1208,3.4
Michigan Ave & 8th St,19026,17823,1203,3.3
Orleans St & Merchandise Mart Plaza,18131,17049,1082,3.1
State St & Harrison St,7932,6881,1051,7.1
Milwaukee Ave & Grand Ave,13227,12236,991,3.9
Wells St & Institute Pl,6628,5679,949,7.7
Desplaines St & Randolph St,8045,7132,913,6.0
Clark St & Lake St,17321,16493,828,2.4
Wells St & Huron St,21820,21003,817,1.9
Orleans St & Chestnut St (NEXT Apts),7562,6760,802,5.6
McCormick Place,7660,6873,787,5.4
Stetson Ave & South Water St,10319,9539,780,3.9
MLK Jr Dr & 29th St,13218,12454,764,3.0
Shedd Aquarium,24413,23654,759,1.6
Desplaines St & Jackson Blvd,12115,11358,757,3.2
Delano Ct & Roosevelt Rd,6494,5745,749,6.1
Franklin St & Chicago Ave,11024,10277,747,3.5
State St & Pearson St,8039,7315,724,4.7
900 W Harrison St,11851,11170,681,3.0
Clinton St & Lake St,18314,17638,676,1.9
Larrabee St & Kingsbury St,19630,18962,668,1.7
Artesian Ave & Hubbard St,4338,3676,662,8.3
LaSalle Dr & Huron St,10446,9788,658,3.3
Peoria St & Jackson Blvd,15612,14955,657,2.1
Jefferson St & Monroe St,8335,7683,652,4.1
Field Blvd & South Water St,11911,11286,625,2.7
Halsted St & Polk St,15291,14681,610,2.0
McClurg Ct & Erie St,15416,14811,605,2.0
Clark St & Elm St,31681,31089,592,0.9
Wells St & Polk St,10316,9762,554,2.8
Woodlawn Ave & 55th St,9495,8942,553,3.0
Ashland Ave & Lake St,4776,4224,552,6.1
LaSalle St & Illinois St,20942,20408,534,1.3
State St & Van Buren St,7950,7422,528,3.4
Clark St & Schiller St,15964,15439,525,1.7
Dusable Harbor,23058,22586,472,1.0
Canal St & Monroe St,10278,9814,464,2.3
Larrabee St & Division St,9228,8765,463,2.6
Racine Ave & Congress Pkwy,6711,6253,458,3.5
Canal St & Harrison St,3253,2799,454,7.5
Orleans St & Elm St,5461,5014,447,4.3
Michigan Ave & 14th St,11793,11350,443,1.9
Wolcott Ave & Polk St,8152,7713,439,2.8
Wood St & Taylor St (Temp),5411,4973,438,4.2
Franklin St & Jackson Blvd,15695,15264,431,1.4
Aberdeen St & Monroe St,8970,8544,426,2.4
Clark St & Ida B Wells Dr,7663,7258,405,2.7
Ravenswood Ave & Lawrence Ave,15373,14970,403,1.3
Dearborn St & Erie St,24901,24500,401,0.8
Kingsbury St & Kinzie St,35594,35194,400,0.6
Clark St & Chicago Ave,11034,10644,390,1.8
Michigan Ave & Ida B Wells Dr,6620,6239,381,3.0
Clinton St & Tilden St,6365,5989,376,3.0
Ellis Ave & 53rd St,5416,5049,367,3.5
N Green St & W Lake St,4406,4041,365,4.3
Canal St & Jackson Blvd,10857,10513,344,1.6
Franklin St & Adams St (Temp),10123,9783,340,1.7
Wabash Ave & 16th St,7907,7568,339,2.2
Clark St & 9th St (AMLI),5146,4814,332,3.3
Larrabee St & Oak St,8148,7817,331,2.1
Morgan St & Polk St,17493,17164,329,0.9
Wells St & Evergreen Ave,15511,15187,324,1.1
Paulina St & Flournoy St,8034,7719,315,2.0
Rhodes Ave & 32nd St,7502,7189,313,2.1
Southport Ave & Clark St,3091,2784,307,5.2
Halsted St & Roosevelt Rd,7292,6992,300,2.1
Campbell Ave & North Ave,4974,4675,299,3.1
Michigan Ave & 18th St,9166,8874,292,1.6
Sedgwick St & Schiller St,4254,3962,292,3.6
Calumet Ave & 33rd St,11747,11457,290,1.2
Wacker Dr & Washington St,8739,8449,290,1.7
Leavitt St & Lawrence Ave,3318,3031,287,4.5
Loomis St & Lexington St,16797,16510,287,0.9
Ritchie Ct & Banks St,10042,9756,286,1.4
Wabash Ave & 9th St,12907,12641,266,1.0
Sedgwick St & North Ave,12251,11988,263,1.1
Wells St & Hubbard St,21233,20971,262,0.6
Ashland Ave & Augusta Blvd,5804,5544,260,2.3
Cornell Ave & Hyde Park Blvd,7384,7129,255,1.8
Blackstone Ave & 59th St,8959,8707,252,1.4
Noble St & Milwaukee Ave,6711,6459,252,1.9
Shore Dr & 55th St,10778,10533,245,1.1
Lake Park Ave & 35th St,3250,3012,238,3.8
LaSalle St & Washington St,7472,7235,237,1.6
Southport Ave & Irving Park Rd,7014,6780,234,1.7
Dearborn St & Van Buren St,5296,5064,232,2.2
Albany Ave & Bloomingdale Ave,4480,4255,225,2.6
Sheffield Ave & Fullerton Ave,17874,17656,218,0.6
Blackstone Ave & Hyde Park Blvd,5085,4870,215,2.2
Clark St & Montrose Ave,6199,5985,214,1.8
Kimbark Ave & 53rd St,14140,13926,214,0.8
Southport Ave & Belmont Ave,9296,9092,204,1.1
Wood St & Augusta Blvd,5473,5269,204,1.9
Carpenter St & Huron St,8446,8249,197,1.2
Ogden Ave & Congress Pkwy,3408,3211,197,3.0
Dearborn St & Adams St,9097,8901,196,1.1
Calumet Ave & 18th St,8437,8251,186,1.1
Montrose Harbor,17197,17011,186,0.5
Fort Dearborn Dr & 31st St,3525,3344,181,2.6
Larrabee St & North Ave,5907,5736,171,1.5
Damen Ave & Leland Ave,5428,5259,169,1.6
Pine Grove Ave & Irving Park Rd,12390,12222,168,0.7
Eckhart Park,7095,6934,161,1.1
Ashland Ave & Grace St,5805,5645,160,1.4
Indiana Ave & 26th St,3481,3323,158,2.3
Burnham Harbor,10277,10131,146,0.7
Clybourn Ave & Division St,4851,4708,143,1.5
California Ave & Francis Pl,3904,3768,136,1.8
Sheridan Rd & Irving Park Rd,13566,13431,135,0.5
Ada St & Washington Blvd,7173,7043,130,0.9
Sheridan Rd & Buena Ave,8682,8552,130,0.8
Paulina St & Montrose Ave,4635,4508,127,1.4
Wells St & Randolph St,10647,10523,124,0.6
Ogden Ave & Chicago Ave,11323,11210,113,0.5
Kedzie Ave & Palmer Ct,4011,3900,111,1.4
Indiana Ave & Roosevelt Rd,23994,23901,93,0.2
May St & Taylor St,10070,9977,93,0.5
Ashland Ave & Belle Plaine Ave,2723,2641,82,1.5
Wolcott (Ravenswood) Ave & Montrose Ave,4798,4718,80,0.8
Calumet Ave & 21st St,4600,4521,79,0.9
